Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[76-76],1m 57s,10.3.0.25,6734,files,80,80,0.214,417,60,0,0,0
[77-77],1m 57s,10.3.0.25,6734,files,60,60,0.216,422,60,0,0,0
[78-78],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[79-79],2m 2s,10.3.0.35,6743,files,60,60,0.278,423.5,80,0,0,0
[8-8],1m 57s,10.3.0.25,6734,files,80,80,0.292,426.5,80,0,0,0
[80-80],1m 59s,10.3.0.25,6733,files,60,60,0.219,434,60,0,0,0
[81-81],2m 3s,10.3.0.35,6742,files,80,80,0.39,599.5,80,0,0,0
[82-82],1m 57s,10.3.0.25,6734,files,60,60,0.512,998,60,0,0,0
[83-83],1m 59s,10.3.0.25,6735,files,80,80,2.155,3205.5,80,0,0,0
[84-84],1m 58s,10.3.0.25,6736,files,60,60,0.352,692.667,60,0,0,0
[85-85],1m 58s,10.3.0.25,6736,files,60,60,1.827,3592.667,60,0,0,0
[86-86],1m 58s,10.3.0.25,6736,files,80,80,0.335,658.667,60,0,0,0
[87-87],1m 59s,10.3.0.25,6735,files,40,40,0.212,420.333,60,0,0,0
[88-88],1m 59s,10.3.0.25,6735,files,60,60,0.515,1022,60,0,0,0
[89-89],1m 59s,10.3.0.25,6735,files,60,60,0.212,420.333,60,0,0,0
[9-9],1m 57s,10.3.0.25,6734,files,80,80,1.834,3575.333,60,0,0,0
[90-90],1m 59s,10.3.0.25,6735,files,60,60,0.651,1292,60,0,0,0
[91-91],1m 59s,10.3.0.25,6735,files,40,40,0.211,419.333,60,0,0,0
[92-92],1m 57s,10.3.0.31,6727,files,80,80,0.226,440,60,0,0,0
[93-93],1m 57s,10.3.0.31,6727,files,60,60,0.396,771.667,60,0,0,0
[94-94],1m 57s,10.3.0.31,6727,files,80,80,0.216,422,60,0,0,0
[95-95],1m 57s,10.3.0.31,6727,files,20,20,0.393,766.333,60,0,0,0
[96-96],2m 3s,10.3.0.35,6742,files,80,80,0.272,418.25,80,0,0,0
[97-97],1m 58s,10.3.0.25,6736,files,60,60,0.418,617.25,80,0,0,0
[98-98],1m 58s,10.3.0.25,6736,files,80,80,0.33,486.5,80,0,0,0
[99-99],1m 57s,10.3.0.31,6727,files,80,80,0.608,889.75,80,0,0,0
